pickup_street,pickup_street2,pickup_city,pickup_state,pickup_zipcode,order_id,dropoff_street,dropoff_street2,dropoff_city,dropoff_state,dropoff_zipcode,dropoff_earliest_datetime,dropoff_latest_datetime,customer_name,customer_email,customer_phone_number,dropoff_notes,delivery_items,signature_required,delivery_proof_photo_required,sms_enabled,workload
3333 S Iron St,,Chicago,IL,60608,de50d3e9-2632-403b-b88e-2457c24cbc29,1355 North Sandburg Terrace,Apt 2508,Chicago,IL,60610,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,d4365b93-d9f2-4d75-a4ac-ec41b784d0fa,2724 N Pine Grove Ave,Apt 2,Chicago,IL,60614,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,5ea85482-8b13-4a14-b94a-f4747c61981a,1422 N Mohawk St,,Chicago,IL,60610,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,,,0,1,1,
3333 S Iron St,,Chicago,IL,60608,bf8a342f-e2dd-4803-b680-ea3f36e5c14c,1307 S Wabash Ave Apt 307,,Chicago,IL,60605,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,,,0,1,1,
3333 S Iron St,,Chicago,IL,60608,231f9b66-7ecb-436c-98cf-b0749c29c67c,830 N Milwaukee Ave Apt 404,,Chicago,IL,60642,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,,,0,1,1,
3333 S Iron St,,Chicago,IL,60608,523123d1-5677-4635-8388-9e8255d0384e,5035 South East End Avenue,Apt 2217N,Chicago,IL,60615,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,,,0,1,1,
3333 S Iron St,,Chicago,IL,60608,85b2b43c-859e-44d5-b4ce-1e47dd77f096,1730 North Clark Street,Apt 3611,Chicago,IL,60614,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,Leave in food room in lobby,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,058f41ed-7adc-4940-b151-c4e989654175,5210 South Kenwood Avenue,,Chicago,IL,60615,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,11ffb5a9-177a-41be-960f-31c7d1a727a5,1135 South Delano Court,Apt 501E,Chicago,IL,60605,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,7ddcced0-0d9e-4e71-9aa9-f385c6f88d5e,1100 N Lake Shore Dr,Apt 25B,Chicago,IL,60611,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,36e8bf92-f5e9-4e34-8dc8-9e4663934b5c,314 E 17th St,,Chicago,IL,60616,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,Leave at front door,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,813bf8b0-e949-4923-b025-c2639702d11e,1142 South Michigan Avenue,Apt Unit 2,Chicago,IL,60605,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,280b7797-e044-4946-a6d2-95690ed63772,747 N Sedgwick St Apt 3N,,Chicago,IL,60654,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,Delivery code 045503,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,94c23eb9-e992-4ab8-9d33-57b50b6a41a0,1378 N. Wolcott Ave. Apt. 2D,,Chicago,IL,60622,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,8914aa5a-e2c9-4079-8321-c06c951e0914,343 W Old Town Ct Apt 603,,Chicago,IL,60610,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,Do not leave outside. Please dial 096 to access lobby.,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,245164fd-3af1-4982-a4da-57710eb2e8ec,455 E Waterside Dr Unit 2914,,Chicago,IL,60601,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,727706df-4d70-42e5-93d7-da0c6b75b509,1519 W Harrison St,,Chicago,IL,60607,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,,JIT_LNW,0,1,0,
3333 S Iron St,,Chicago,IL,60608,dbd6a201-274a-4c61-a156-b0a3ddc614c3,1130 W Armitage #1,,Chicago,IL,60614,10/03/2025 5:00:00 AM,10/03/2025 7:00:00 AM,QATEST,huect@axlehire.com,123233433,,JIT_LNW,0,1,0,
