pickup_street,pickup_street2,pickup_city,pickup_state,pickup_zipcode,order_id,dropoff_street,dropoff_street2,dropoff_city,dropoff_state,dropoff_zipcode,dropoff_earliest_datetime,dropoff_latest_datetime,customer_name,customer_email,customer_phone_number,dropoff_notes,delivery_items,signature_required,delivery_proof_photo_required,sms_enabled,workload
154 Morgan Ave,Suite - 200,Brooklyn,NY,11237,575d474d-98c9-47a6-85e4-0e68efbf97e4,"9-34 118th St ",Fl 2,College Point,NY,11356-1557,11/11/2025 17:00:00,11/12/2025 07:00:00,QATEST,huect@axlehire.com,123233433,,,0,1,0,0.1
154 Morgan Ave,Suite - 200,Brooklyn,NY,11237,01eaeec2-32a1-4789-af8d-7f04ab88c8ae,117 W 58th St Apt 9C,,New York,NY,10019-1548,11/11/2025 17:00:00,11/12/2025 07:00:00,QATEST,huect@axlehire.com,123233433,,,0,1,0,0.30000000000000004
154 Morgan Ave,Suite - 200,Brooklyn,NY,11237,3c9295d6-cbbd-42e8-8586-70d9a12f3a8a,16 W 16th St Apt 9BN,,New York,NY,10011-0261,11/11/2025 17:00:00,11/12/2025 07:00:00,QATEST,huect@axlehire.com,123233433,,,0,1,0,0.4
154 Morgan Ave,Suite - 200,Brooklyn,NY,11237,9e3c1ac4-68c4-4424-a110-cf1e182841fd,1908 3rd Ave Apt 4RN,,New York,NY,10029-4671,11/11/2025 17:00:00,11/12/2025 07:00:00,QATEST,huect@axlehire.com,123233433,,,0,1,0,0.4
154 Morgan Ave,Suite - 200,Brooklyn,NY,11237,b09ee7c4-ab4e-4cfe-ba3f-75248028fe0a,330 E 80th St Apt 4M,,New York,NY,10075-0917,11/11/2025 17:00:00,11/12/2025 07:00:00,QATEST,huect@axlehire.com,123233433,,,0,1,0,0.2
154 Morgan Ave,Suite - 200,Brooklyn,NY,11237,facad876-01e4-475b-86d4-99d744d71a57,435 E 70th St Apt 6G,,New York,NY,10021-5339,11/11/2025 17:00:00,11/12/2025 07:00:00,QATEST,huect@axlehire.com,123233433,,,0,1,0,0.5
154 Morgan Ave,Suite - 200,Brooklyn,NY,11237,75e6c4be-9195-4931-9d83-9f47c9578d7f,1380 3rd Ave,,New York,NY,10075-0458,11/11/2025 17:00:00,11/12/2025 07:00:00,QATEST,huect@axlehire.com,123233433,,,0,1,0,0.4
154 Morgan Ave,Suite - 200,Brooklyn,NY,11237,9d42699c-29fd-4db3-b159-f9aefca59378,2719 44th Dr Apt 22C,,Long Island City,NY,11101-3056,11/11/2025 17:00:00,11/12/2025 07:00:00,QATEST,huect@axlehire.com,123233433,,,0,1,0,0.8
154 Morgan Ave,Suite - 200,Brooklyn,NY,11237,0eba5dce-3514-40d3-a968-5a27ac684815,214 50th Ave Apt 407E,,Long Island City,NY,11101-5918,11/11/2025 17:00:00,11/12/2025 07:00:00,QATEST,huect@axlehire.com,123233433,,,0,1,0,0.7000000000000001
154 Morgan Ave,Suite - 200,Brooklyn,NY,11237,2e59db12-6cdd-46ed-852d-8e8f1fe38f0f,3940 52nd St Apt 4D,,Woodside,NY,11377-3241,11/11/2025 17:00:00,11/12/2025 07:00:00,QATEST,huect@axlehire.com,123233433,,,0,1,0,0.6000000000000001
154 Morgan Ave,Suite - 200,Brooklyn,NY,11237,5be449f2-7dd0-46b0-8eb6-fe04a881cf57,217 W 57th St Apt 57N,,New York,NY,10019-2171,11/11/2025 17:00:00,11/12/2025 07:00:00,QATEST,huect@axlehire.com,123233433,,,0,1,0,1.0
154 Morgan Ave,Suite - 200,Brooklyn,NY,11237,93b1e905-8d51-4e87-884e-51de75e31588,8 Spruce St Apt 56J,,New York,NY,10038-5239,11/11/2025 17:00:00,11/12/2025 07:00:00,QATEST,huect@axlehire.com,123233433,,,0,1,0,0.2
154 Morgan Ave,Suite - 200,Brooklyn,NY,11237,4f3d1f7b-8739-464d-80f7-bacdf66bac6d,405 E 56th St Apt 3O,,New York,NY,10022-2430,11/11/2025 17:00:00,11/12/2025 07:00:00,QATEST,huect@axlehire.com,123233433,,,0,1,0,0.30000000000000004
154 Morgan Ave,Suite - 200,Brooklyn,NY,11237,35fc0fb5-6ded-4289-8b88-2704e210cfc3,4510 94th St Rm 465,Room 465,Elmhurst,NY,11373-2824,11/11/2025 17:00:00,11/12/2025 07:00:00,QATEST,huect@axlehire.com,123233433,"Leave package inside SCHOOL BUILDING. Ring the bell on the first door in order to be let in. Deje el paquete dentro de la ESCUELA. Toque el timbre de la primera puerta para que le abran. ",,0,1,0,0.2
154 Morgan Ave,Suite - 200,Brooklyn,NY,11237,87b373fe-fb8f-464c-8552-1fe38c34848d,23 Elm St,,Roslyn Heights,NY,11577-1201,11/11/2025 17:00:00,11/12/2025 07:00:00,QATEST,huect@axlehire.com,123233433,,,0,1,0,0.2
154 Morgan Ave,Suite - 200,Brooklyn,NY,11237,cc0426ad-4db9-483d-9c6a-b6c83d645ee7,92 Hillside Park Dr,,New Hyde Park,NY,11040-3308,11/11/2025 17:00:00,11/12/2025 07:00:00,QATEST,huect@axlehire.com,123233433,,,0,1,0,0.2
154 Morgan Ave,Suite - 200,Brooklyn,NY,11237,5441a154-5204-482c-86ba-9465d34b0c2e,80 Chambers St Apt 12A,,New York,NY,10007-1991,11/11/2025 17:00:00,11/12/2025 07:00:00,QATEST,huect@axlehire.com,123233433,,,0,1,0,0.2
154 Morgan Ave,Suite - 200,Brooklyn,NY,11237,d0b0f92c-c338-4c9e-aca7-ad3286e702e1,6260 108th St Apt 4J,,Forest Hills,NY,11375-1303,11/11/2025 17:00:00,11/12/2025 07:00:00,QATEST,huect@axlehire.com,123233433,,,0,1,0,0.2
154 Morgan Ave,Suite - 200,Brooklyn,NY,11237,dd4485cd-99f4-4b09-a4fb-7b693c846e43,3936 46th St,,Sunnyside,NY,11104-1408,11/11/2025 17:00:00,11/12/2025 07:00:00,QATEST,huect@axlehire.com,123233433,,,0,1,0,0.6000000000000001
154 Morgan Ave,Suite - 200,Brooklyn,NY,11237,d531bd0b-bd12-42c0-a4c6-2615382b6fa7,6615 Wetherole St Apt B12,,Rego Park,NY,11374-4668,11/11/2025 17:00:00,11/12/2025 07:00:00,QATEST,huect@axlehire.com,123233433,,,0,1,0,0.2
154 Morgan Ave,Suite - 200,Brooklyn,NY,11237,be1dd603-978f-4d88-86f1-4e8e2fe09a5c,188 Freeman St Apt 1L,,Brooklyn,NY,11222-8210,11/11/2025 17:00:00,11/12/2025 07:00:00,QATEST,huect@axlehire.com,123233433,,,0,1,0,0.1
