pickup_street,pickup_street2,pickup_city,pickup_state,pickup_zipcode,order_id,dropoff_street,dropoff_street2,dropoff_city,dropoff_state,dropoff_zipcode,dropoff_earliest_datetime,dropoff_latest_datetime,customer_name,customer_email,customer_phone_number,dropoff_notes,delivery_items,signature_required,delivery_proof_photo_required,sms_enabled,workload
13943 Maryton Ave,,"Santa Fe Springs ",CA,90670,ac5e97ea-5c24-438b-b39a-1d0984d747f7,5117 E CARITA ST,,LONG BEACH,CA,90808,04/22/2025 17:00:00,04/23/2025 07:00:00,QATEST,HueCT@axlehire.com,123239033,null Place box upright,xkdtk4kt,0,1,1,1.1
13943 Maryton Ave,,"Santa Fe Springs ",CA,90670,2505b659-7279-4f02-82f6-a833491a4308,4396 Adenmoor Ave,,Lakewood,CA,90713,04/22/2025 17:00:00,04/23/2025 07:00:00,QATEST,HueCT@axlehire.com,123239033,,,0,1,1,
13943 Maryton Ave,,"Santa Fe Springs ",CA,90670,b803396a-aaea-492e-aaa4-4f66db69b801,5229 E. Hanbury St.,,Long Beach,CA,90808,04/22/2025 17:00:00,04/23/2025 07:00:00,QATEST,HueCT@axlehire.com,123239033,,,0,1,1,
13943 Maryton Ave,,"Santa Fe Springs ",CA,90670,cde6f307-b7b8-40fe-9983-cb777bbf9d59,4311 1/2 N BELLFLOWER BLVD,,LONG BEACH,CA,90808,04/22/2025 17:00:00,04/23/2025 07:00:00,QATEST,HueCT@axlehire.com,123239033,Leave at front door,,0,1,1,
13943 Maryton Ave,,"Santa Fe Springs ",CA,90670,1fc7a5df-1e08-43c6-9f73-880d4903884f,5433 E. Walkerton St.,,Long Beach,CA,90808,04/22/2025 17:00:00,04/23/2025 07:00:00,QATEST,HueCT@axlehire.com,123239033,,,0,1,1,
13943 Maryton Ave,,"Santa Fe Springs ",CA,90670,9908e9d8-e624-411b-bd8a-e0933f4de641,4309 Heather Road,,Long Beach,CA,90808,04/22/2025 17:00:00,04/23/2025 07:00:00,QATEST,HueCT@axlehire.com,123239033,Leave at back door,,0,1,1,
13943 Maryton Ave,,"Santa Fe Springs ",CA,90670,dad3d268-ae51-4315-89ee-324a69f0d555,3661 Charlemagne Ave,,Long Beach,CA,90808,04/22/2025 17:00:00,04/23/2025 07:00:00,QATEST,HueCT@axlehire.com,123239033,Leave at front door,,0,1,1,
13943 Maryton Ave,,"Santa Fe Springs ",CA,90670,4717aa1f-7abf-469a-a0aa-e901ee1d8ecd,4802 Faculty Ave,,Long Beach,CA,90808,04/22/2025 17:00:00,04/23/2025 07:00:00,QATEST,HueCT@axlehire.com,123239033,,,0,1,1,
13943 Maryton Ave,,"Santa Fe Springs ",CA,90670,7e4eb812-dd9d-4091-bd10-e1e3b7ab6e6b,5048 Autry Avenue,,Lakewood,CA,90712,04/22/2025 17:00:00,04/23/2025 07:00:00,QATEST,HueCT@axlehire.com,123239033,,,0,1,0,
13943 Maryton Ave,,"Santa Fe Springs ",CA,90670,e735dc54-c282-4e66-a5a7-e935c5f980eb,5119 Lorelei Ave,,Lakewood,CA,90712,04/22/2025 17:00:00,04/23/2025 07:00:00,QATEST,HueCT@axlehire.com,123239033,20250416253016841150,,0,1,0,
